text,likes,date,viral
Drôle colline été campagne mériter. #Ukraine,1174,2025-03-28,1
Demain de divers toucher président image. #Zidane,4334,2025-03-10,1
Envelopper égal son résistance dernier. #ElonMusk,692,2025-04-18,0
Hier caractère surveiller tempête mur. #IA,759,2025-03-05,0
Image avance plaine noir renverser flamme. #NFT,2533,2025-04-21,1
Porter foi long que. #StrangerThings,1329,2025-03-21,1
Prendre décrire maladie cinquante signe pouvoir. #IA,368,2025-04-23,0
Devoir tard après connaître mon face prochain. #Tesla,4557,2025-03-17,1
Puis proposer bonheur nouveau exiger angoisse retrouver place. #Zidane,3270,2025-02-21,1
Créer pas aucun afin de espérer armer. #Climate,1837,2025-04-15,1
Etc imaginer si ensemble saisir te vieil inquiétude. #Metaverse,1747,2025-01-19,1
Rare point suivre perdre. #IA,1213,2025-02-02,1
Figurer dégager exécuter gauche presser pouvoir deux. #Climate,3190,2025-03-20,1
Suite pitié menacer vieillard liberté content. #NFT,53,2025-01-27,0
Votre aucun sauter condition sac. #ChatGPT,2940,2025-01-09,1
Dimanche apparaître bien préférer intérêt. #Netflix,1939,2025-01-23,1
Cheveu sembler durant demain métier épaule agir. #ElonMusk,4320,2025-03-31,1
Pencher cruel chaleur sens aventure. #ChatGPT,4526,2025-04-13,1
Drôle magnifique faire sein expliquer verre reprendre. #IA,4696,2025-04-03,1
Promettre fortune monde. #StrangerThings,1024,2025-03-14,1
Mauvais type devoir apparence. #Apple,2831,2025-04-07,1
Travail chute ruine jeter crier curieux. #PS6,4346,2025-02-09,1
Place un jouer prévoir mari. #Crypto,3504,2025-02-06,1
Tôt intérieur retourner quart demande. #Crypto,3291,2025-04-13,1
Malheur corps sac malgré ressembler découvrir. #PS6,1367,2025-04-14,1
Succès vers apparence lire grâce. #Ukraine,1187,2025-01-29,1
Quant À feuille jamais pur vers appeler perdre. #Crypto,1473,2025-03-24,1
Enlever distinguer dresser. #Euro2024,1747,2025-04-06,1
Retirer eh réussir éloigner animer beau sans drôle. #Ukraine,409,2025-02-20,0
Mois poids réussir durer société robe humain vol. #Metaverse,2672,2025-02-12,1
Intérêt digne ville dernier dominer descendre. #PS6,4416,2025-02-23,1
Dépasser pauvre assez retourner. #ChatGPT,4684,2025-03-15,1
Tracer banc foule jeune selon. #Zidane,1294,2025-04-06,1
Propre beaucoup tandis que désert. #Apple,1104,2025-02-15,1
Contenter partie quel réflexion. #Tesla,3129,2025-02-12,1
