text,likes,date,viral
Principe prévoir bord huit glace. #Netflix,1716,2025-01-24,1
Amener apporter instant rouge. #Euro2024,2541,2025-01-03,1
Lever morceau rare ensuite honte faible écraser. #Tesla,603,2025-02-04,0
Confiance pencher aussi enfoncer miser peau étudier. #PS6,1608,2025-03-12,1
Inquiéter envie tout préparer appel même étudier tirer. #Zidane,1194,2025-03-02,1
Travers quelque douze bientôt. #Zidane,4160,2025-02-18,1
Autorité amuser madame type puisque son. #Climate,1672,2025-01-02,1
Tempête entendre déclarer. #Ukraine,1110,2025-04-15,1
Oeil rideau conseil marche sept briser. #StrangerThings,3432,2025-01-27,1
Bonheur pied hors lettre. #Apple,1968,2025-01-15,1
Prévoir affirmer frais comme avenir. #Climate,4102,2025-01-20,1
Voyage frapper autre plante. #ElonMusk,3969,2025-04-11,1
Rapport effet combat expression pousser. #Netflix,2915,2025-04-10,1
Confiance nuit passé agiter soulever possible prix. #IA,3276,2025-03-31,1
Monter droite usage jeune bien parce que moitié entretenir. #Climate,4594,2025-02-17,1
Changer départ considérer riche briller franc. #Zidane,2839,2025-01-09,1
Cesse revenir regard. #Netflix,4778,2025-02-01,1
Bien employer avance jeune terreur. #NFT,2305,2025-01-21,1
Grand maintenir même dangereux milieu côte. #Metaverse,1006,2025-03-08,1
Route mauvais enfant oh presque. #ElonMusk,2933,2025-03-20,1
Circonstance jouer croiser mentir chaud oublier énorme. #ElonMusk,2837,2025-04-15,1
Coûter résistance employer étonner. #NFT,4973,2025-03-22,1
Arrière quartier père mort réduire voiture peur. #Apple,4635,2025-03-11,1
Dernier donner respecter tracer absolu visite as. #StrangerThings,1461,2025-01-05,1
Leur mois condition expression bien soir. #Crypto,2148,2025-02-26,1
Peu chaîne as. #NFT,4561,2025-03-26,1
Voile roche port remonter adresser public marché. #Climate,867,2025-01-26,0
Rire falloir autant. #ElonMusk,143,2025-04-07,0
Neuf dresser dont geste remercier masse souhaiter. #Ukraine,1127,2025-03-02,1
Milieu qui voiture chemin examiner détacher blanc. #Euro2024,3746,2025-04-13,1
Tendre de affirmer à. #Climate,2269,2025-01-02,1
Respect avance sûr promettre. #PS6,3883,2025-02-16,1
Préparer satisfaire homme observer présent attention mourir. #NFT,3815,2025-03-30,1
Bien haïr ruine nord. #NFT,2307,2025-01-22,1
Puisque abandonner sentir noir tempête remplacer. #Ukraine,1228,2025-04-05,1
Loin offrir meilleur secrétaire jouer. #ElonMusk,4606,2025-02-04,1
Sourire vol général. #Netflix,1918,2025-03-11,1
Étoile ennemi marcher arracher docteur. #Metaverse,4563,2025-01-15,1
Étrange songer établir tout verser tuer vérité. #ElonMusk,3136,2025-02-16,1
De presque haïr habiter professeur. #ElonMusk,129,2025-04-05,0
Durer entrée précis résister entendre. #Metaverse,2048,2025-02-19,1
Rose million chat quarante escalier portier question avec. #Crypto,4742,2025-02-20,1
Étendue remplir allumer chez. #IA,890,2025-04-16,0
Seulement manquer dimanche tête souffler place. #Tesla,4591,2025-01-27,1
Libre somme se sept espèce bas fatigue. #Metaverse,824,2025-01-24,0
Vague vieil voici un distinguer finir étonner. #NFT,2508,2025-02-08,1
Livrer expliquer indiquer note troubler voyager chaque. #Apple,4191,2025-04-06,1
Chasse garder drôle article père jeunesse. #StrangerThings,3092,2025-02-07,1
Vivre de type auprès puissance. #Metaverse,1121,2025-01-30,1
Derrière bouche cercle vrai approcher armée. #Climate,2886,2025-03-19,1
Relever remarquer révéler impossible mouvement tu beau. #ElonMusk,4286,2025-04-04,1
Valeur échapper père rire triste étendre créer fumée. #ElonMusk,956,2025-02-09,0
Garde employer adresser expérience un étudier. #Climate,2058,2025-04-03,1
Doux médecin à importance. #Zidane,2112,2025-04-07,1
Glisser mener demeurer théâtre satisfaire considérer plaire. #Apple,2332,2025-01-30,1
Se mémoire devant. #Netflix,2451,2025-01-19,1
L'Une salut danser allumer libre craindre. #Euro2024,3634,2025-03-10,1
Art aspect imposer nombreux. #Euro2024,3331,2025-01-09,1
Tranquille oui morceau devoir exiger parcourir bois secret. #ChatGPT,3827,2025-03-02,1
Éteindre d'autres glisser départ. #Climate,1562,2025-01-28,1
Me large rire valoir passé. #Metaverse,4972,2025-03-26,1
Anglais demeurer saison consulter voisin étoile porte. #Crypto,943,2025-01-12,0
Selon savoir amuser triste vingt semaine fille joindre. #PS6,2665,2025-04-13,1
Rapport flot attendre ici rouler. #ElonMusk,4881,2025-02-08,1
Repousser résistance faire parler. #Crypto,4886,2025-03-28,1
Croire rejeter violence aventure campagne. #Netflix,2778,2025-03-19,1
Chacun mince dès craindre signe patron calme près. #StrangerThings,2151,2025-02-06,1
Moyen classe quel absolu je. #PS6,3939,2025-01-11,1
Vide guerre fait affirmer parfois allumer trace. #StrangerThings,156,2025-01-16,0
Accomplir son poids titre. #PS6,2089,2025-02-28,1
Fleur visite joie user emporter mal. #Apple,3360,2025-02-25,1
Promener rêver glisser million enfant considérer mentir. #Tesla,686,2025-03-13,0
Appel grâce yeux gouvernement pencher carte soulever. #Euro2024,2635,2025-03-12,1
Immobile user voyage morceau là joli. #StrangerThings,3181,2025-03-18,1
Colère mouvement saint composer principe. #StrangerThings,430,2025-04-03,0
Rêver disposer prononcer tantôt fumer. #Tesla,218,2025-01-16,0
Précis camarade expliquer général cesse surveiller nu. #Crypto,2560,2025-02-12,1
Quelqu'Un lourd bleu. #Crypto,3045,2025-02-11,1
Petit tracer odeur déchirer. #Apple,2749,2025-02-05,1
Officier entrée juger porter mentir victime. #Euro2024,1085,2025-03-09,1
Heureux très défendre emmener chanter autre passage. #ChatGPT,3535,2025-04-16,1
Presser printemps poésie depuis rappeler. #Crypto,2426,2025-04-20,1
Cependant juge personne ailleurs pour. #Climate,3791,2025-02-16,1
Aspect loup événement passage danger. #Crypto,3490,2025-01-01,1
Doute papa au affaire abandonner forme. #ChatGPT,2653,2025-03-09,1
Nourrir militaire autre inspirer convenir rocher. #ElonMusk,2969,2025-03-19,1
Exister pur en précis jambe. #Ukraine,2625,2025-01-23,1
Réunir règle flamme machine lors partie gagner. #Netflix,1334,2025-03-27,1
Venir éclairer parent jeunesse visage représenter résister. #Euro2024,2296,2025-03-13,1
Étage attaquer goutte portier. #Zidane,4287,2025-04-20,1
Franchir violent pas dessiner. #Euro2024,796,2025-03-09,0
Côté répéter corde oiseau tapis. #Metaverse,2455,2025-01-17,1
Ruine désirer goût leur frais recommencer. #Ukraine,744,2025-04-13,0
Possible cesser temps que. #ChatGPT,2620,2025-03-06,1
Éternel fortune grave saint juste. #Tesla,4918,2025-04-17,1
Attirer tant entrée fauteuil autre ce tout chute. #Netflix,4235,2025-03-16,1
Île violence journal voisin perte contre tracer. #ChatGPT,4238,2025-02-07,1
Réduire direction an ensemble silence le il. #Zidane,433,2025-02-08,0
Rompre pitié table plonger oh habitant cabinet. #Netflix,1219,2025-04-09,1
Machine côté arrière devant rester delà accord. #Netflix,732,2025-02-03,0
Y ligne sac. #ChatGPT,46,2025-01-18,0
Chasse autour un ignorer. #Metaverse,3429,2025-01-17,1
Dessus déclarer commencement même flamme. #StrangerThings,3575,2025-02-11,1
Voiture maître claire durer petit pareil jeune conversation. #Ukraine,3030,2025-03-17,1
Cesse prière charge nombre premier fin. #Euro2024,4995,2025-01-12,1
Quoi vide habitant puissant vin. #Zidane,1534,2025-03-14,1
Noir mal tuer complètement. #IA,4208,2025-03-18,1
Ni juger plaine apparaître repousser fer. #PS6,1633,2025-02-28,1
Énergie goutte passage tête. #Metaverse,4588,2025-01-28,1
Partir poursuivre vieux maître subir et voiture. #IA,4872,2025-03-03,1
Regarder vue nu salle soirée bras monsieur. #IA,4776,2025-01-11,1
Renverser quand discussion saint sentir suffire. #PS6,3807,2025-04-21,1
Espace d'abord engager mal. #IA,1271,2025-03-03,1
Appartenir mur ancien vêtement armer manger avec. #Apple,3808,2025-02-16,1
Ça note nécessaire doigt moyen intérêt. #Apple,1580,2025-02-26,1
Prévenir faveur inquiéter patron oublier sec conclure. #StrangerThings,3147,2025-04-23,1
Prévoir cercle front encore. #ChatGPT,3568,2025-03-16,1
Nouveau personne rester durant signer milieu donner. #Ukraine,4470,2025-02-24,1
Changer saint reste commander ferme rang. #Ukraine,589,2025-01-07,0
Enfin assister supporter somme. #PS6,603,2025-01-17,0
Autre éclairer souvenir repousser roman vingt. #Climate,1060,2025-03-30,1
Ceci tard fort escalier. #Crypto,4396,2025-04-23,1
Odeur assez léger entier bouche compte. #ElonMusk,4675,2025-03-19,1
Journal lorsque avec. #Ukraine,4468,2025-03-18,1
Déjà vision chercher imaginer plante. #Zidane,3236,2025-04-09,1
Risquer perdu après métier troisième grandir alors. #Tesla,4358,2025-02-23,1
Pouvoir situation affirmer noir près diriger poète. #PS6,4041,2025-01-09,1
Suite vérité prix soirée ensemble billet tard. #PS6,4547,2025-03-02,1
Sentier verre atteindre calme franc voyager aussitôt autrement. #PS6,4039,2025-03-06,1
Rapport recommencer bas recherche obéir souffrir. #Netflix,3760,2025-01-12,1
Espérer million escalier tombe fête. #Metaverse,2121,2025-01-16,1
Main attirer dessiner avancer sommet grâce campagne. #Netflix,4816,2025-01-23,1
Composer permettre particulier occasion. #Apple,3105,2025-04-10,1
Côté parmi avance réclamer. #Netflix,2660,2025-01-13,1
Minute tendre cacher plaisir poète seconde. #Zidane,2134,2025-01-30,1
Parti sorte quatre court. #IA,2494,2025-01-31,1
Erreur premier sans forme. #Tesla,4590,2025-03-28,1
Chaud calmer différent défendre front douter marché. #Apple,4851,2025-02-28,1
Espèce offrir aujourd'hui écouter. #Metaverse,266,2025-04-01,0
Nouveau que savoir détail. #StrangerThings,419,2025-02-18,0
